Alabama,AL,52423,4040587
Alaska,AK,656424,550043
Arizona,AZ,114006,3665228
Arkansas,AR,53182,2350725
California,CA,163707,29769021
Colorado,CO,104100,3294394
Connecticut,CT,5544,3287116
Delaware,DE,2489,666168
District of Columbia,DC,68,606900
Florida,FL,65756,12937926
Georgia,GA,59441,6478216
Hawaii,HI,10932,1108229
Idaho,ID,83574,1006749
Illinois,IL,57918,11430602
Indiana,IN,36420,5544159
Iowa,IA,56276,2776755
Kansas,KS,82282,2477574
Kentucky,KY,40411,3685296
Louisiana,LA,51843,4219973
Maine,ME,35387,1227928
Maryland,MD,12407,4781468
Massachusetts,MA,10555,6016425
Michigan,MI,96705,9295297
Minnesota,MN,86943,4375099
Mississippi,MS,48434,2573216
Missouri,MO,69709,5117073
Montana,MT,147046,799065
Nebraska,NE,77358,1578385
Nevada,NV,110567,1201833
New Hampshire,NH,9351,1109252
New Jersey,NJ,8722,7730188
New Mexico,NM,121598,1515069
New York,NY,54471,17990455
North Carolina,NC,53821,6628637
North Dakota,ND,70704,638800
Ohio,OH,44828,10847115
Oklahoma,OK,69903,3145585
Oregon,OR,98386,2842321
Pennsylvania,PA,46058,11881643
Rhode Island,RI,1545,1003464
South Carolina,SC,32008,3468703
South Dakota,SD,77121,696004
Tennessee,TN,42146,4877185
Texas,TX,268601,16986510
Utah,UT,84904,1722850
Vermont,VT,9615,562758
Virginia,VA,42777,6187358
Washington,WA,71302,4866692
West Virginia,WV,24231,1793477
Wisconsin,WI,65499,4891769
Wyoming,WY,97818,453588